activity_year,lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co_applicant_credit_score_type,applicant_ethnicity_1,applicant_ethnicity_2,applicant_ethnicity_3,applicant_ethnicity_4,applicant_ethnicity_5,co_applicant_ethnicity_1,co_applicant_ethnicity_2,co_applicant_ethnicity_3,co_applicant_ethnicity_4,co_applicant_ethnicity_5,applicant_ethnicity_observed,co_applicant_ethnicity_observed,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,applicant_race_observed,co_applicant_race_observed,applicant_sex,co_applicant_sex,applicant_sex_observed,co_applicant_sex_observed,applicant_age,co_applicant_age,applicant_age_above_62,co_applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus_1,aus_2,aus_3,aus_4,aus_5,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,approved
2023,549300FGXN1K3HLB1R50,24660,NC,37081.0,37081016702.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,2,2,32,1,2,2,2,195000,80,4.99,-0.411,2,8340.49,,2896.8,976.8,,360,,,2,2,2,2,245000,1,1,3,5,1,,51.0,41,1,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,65-74,>74,Yes,Yes,1,1,3,,,,,10,,,,3754,21.6,81500,89.19,1142,1561,38,1
2023,549300QRWA4IGMDEDT70,99999,,,,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,7,0,1,2,1,1,2,2,2,345000,96.5,,,3,,,,,,360,,,2,2,2,2,355000,1,1,3,5,1,,86.0,43,3,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,1,,,,,5,3.0,,,0,0.0,0,0.0,0,0,0,0
2023,549300QRWA4IGMDEDT70,33460,MN,27037.0,27037060202.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,2,1,31,1,2,2,2,155000,75.0,5.5,-0.047,2,3207.75,,1700.0,,,180,,,2,2,2,2,205000,1,1,3,5,1,,122.0,20%-<30%,1,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,55-64,9999,Yes,,1,1,1,,,,,10,,,,3534,25.3,124300,92.56,820,984,68,1
2023,549300QRWA4IGMDEDT70,33460,MN,27025.0,27025110302.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,4,2,2,2,2,25000,89.992,,,3,,,,,,180,,,2,2,2,2,345000,1,1,3,5,1,,78.0,>60%,9,1,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,1,2,2,25-34,25-34,No,No,1,1,6,,,,,3,1.0,,,6703,11.49,124300,87.31,2061,2143,22,0
2023,549300WD04PCWCETKZ02,99999,WI,55135.0,55135100700.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,32,1,1111,1111,1111,35000,Exempt,Exempt,Exempt,2,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,1111,1111,1111,1111,Exempt,1,1,1111,1111,1,Exempt,79.0,Exempt,1111,1111,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,55-64,45-54,No,No,1111,1111,1111,,,,,1111,,,,3375,9.13,86000,91.66,1053,1491,52,1
2023,549300FGXN1K3HLB1R50,34980,TN,47165.0,47165021002.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,2,1,2,1,2,2,2,125000,41,5.99,-0.171,2,4794.77,,3257.5,1982.5,,360,,,2,2,2,2,305000,1,1,3,5,1,,41.0,30%-<36%,1,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,1,,,,,10,,,,8739,25.83,100500,112.5,1930,2164,21,1
2023,549300TDVGWRELEO5F50,39740,PA,42011.0,42011012702.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,5,0,2,1,2,2,2,2,2,55000,,,,3,,,,,,180,,,2,2,2,2,,1,1,3,5,1,,66.0,,9,9,2.0,,,,,2.0,,,,,1,1,3.0,,,,,3.0,,,,,1,1,1,2,1,1,45-54,45-54,No,No,1,1,6,,,,,10,,,,4201,31.56,95300,122.93,1340,1455,25,0
2023,549300TDVGWRELEO5F50,99999,NY,36097.0,36097950100.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,32,1,2,1,2,85000,14.0,,,3,,,,,,360,,6,2,2,2,2,655000,1,1,3,5,1,,50.0,50%-60%,2,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,1,,,,4895,6.93,83700,99.4,1657,2715,55,0
2023,549300TDVGWRELEO5F50,13780,NY,36007.0,36007012201.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,4,2,2,2,2,65000,90.0,7.75,1.02,2,783.0,,0.0,,315.0,180,,,2,2,2,2,235000,1,1,3,5,1,,133.0,44,2,2,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,45-54,35-44,No,No,1,1,6,,,,,10,,,,2492,8.19,85300,117.45,718,977,66,1
2023,549300S5YL3OH0IVCS62,43900,SC,45083.0,45083021600.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,2,2,1,1,1,2,55000,,,,3,,,,,,,,1,2,2,2,2,,1,1,3,5,1,,45.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,1,2,2,65-74,65-74,Yes,Yes,1,1,6,,,,,10,,,,3525,65.11,80200,68.88,504,1087,55,0
